series_id,ticker,position,strategy,start_date,end_date,trades,initial_balance,ending_equity,total_return_pct,return_1d_pct,return_1w_pct,return_1m_pct,return_3m_pct,return_6m_pct,return_1y_pct,scenario
SPY|short|straddle,SPY,short,straddle,2024-01-30,2026-01-26,499,100000.0,168463.8540818806,0.6846385408188058,0.005496497410975465,-0.01303140070562847,0.0060257526901197345,0.052789700209689316,0.09319093384954846,0.32739134661638913,ivEntry+0.00_ivExit+0.00_hs0.010_xslip0.0
SPY|short|straddle,SPY,short,straddle,2024-01-30,2026-01-26,499,100000.0,-689588.6976578381,-7.895886976578381,0.0012542189566853157,0.01582485399504896,0.06168222798250467,0.20308956576285975,0.505310354089459,1.5534836227862625,ivEntry+0.00_ivExit+0.05_hs0.010_xslip0.0
SPY|short|straddle,SPY,short,straddle,2024-01-30,2026-01-26,499,100000.0,-1561168.3796436316,-16.611683796436317,0.0017053424600164124,0.01285094087532146,0.05554648170717513,0.18478106961011265,0.44619987350696966,1.3181856036662905,ivEntry+0.00_ivExit+0.10_hs0.010_xslip0.0
SPY|short|straddle,SPY,short,straddle,2024-01-30,2026-01-26,499,100000.0,988713.0559378443,8.887130559378443,0.0027098317680323003,0.005603971693119103,0.0413892434280283,0.14786392371984314,0.3320876962631907,0.9552368237807496,ivEntry+0.00_ivExit-0.05_hs0.010_xslip0.0
SPY|short|straddle,SPY,short,straddle,2024-01-30,2026-01-26,499,100000.0,1612700.942239925,15.12700942239925,0.0024671210163262902,0.006516389341280515,0.040213037845033606,0.15724138443161695,0.32563343919249155,1.0285786398832655,ivEntry+0.00_ivExit-0.10_hs0.010_xslip0.0
SPY|short|strangle,SPY,short,strangle,2024-01-30,2026-01-26,499,100000.0,155116.14573045663,0.5511614573045662,0.0018713580325864232,-0.00020499006964780353,0.010512955882707953,0.04371974318801719,0.06230052278906317,0.3181918415134146,ivEntry+0.00_ivExit+0.00_hs0.010_xslip0.0
SPY|short|strangle,SPY,short,strangle,2024-01-30,2026-01-26,499,100000.0,-351082.34605541296,-4.51082346055413,0.0010304942254140137,0.013224307486968234,0.05194714761778463,0.22415159167510756,0.4789240053172428,2.13609062397996,ivEntry+0.00_ivExit+0.05_hs0.010_xslip0.0
SPY|short|strangle,SPY,short,strangle,2024-01-30,2026-01-26,499,100000.0,-993690.8422252282,-10.936908422252282,0.0014189578802705771,0.011076120949601309,0.047720912749478206,0.18635069496389756,0.4023189893377672,1.4462916911186778,ivEntry+0.00_ivExit+0.10_hs0.010_xslip0.0
SPY|short|strangle,SPY,short,strangle,2024-01-30,2026-01-26,499,100000.0,457151.190174389,3.5715119017438903,0.0010041339029505103,0.004040268792540935,0.017861109042222045,0.10730955879478477,0.15964039424336818,0.8349971859816989,ivEntry+0.00_ivExit-0.05_hs0.010_xslip0.0
SPY|short|strangle,SPY,short,strangle,2024-01-30,2026-01-26,499,100000.0,586046.7090847313,4.860467090847313,0.0007855394210432021,0.003277001391293277,0.01426929850449854,0.09752982744755712,0.1387529473070741,1.0013898590998402,ivEntry+0.00_ivExit-0.10_hs0.010_xslip0.0
