scenario,ticker,strategy,position,entry_date,exit_date,pnl,cum_pnl,series_id,initial_balance,equity,return_pct,prev_equity,trade_return_pct
ivEntry+0.00_ivExit+0.00_hs0.010_xslip0.0,SPY,straddle,short,2024-02-27,2024-02-28,84.28902103911241,5099.429722303484,SPY|short|straddle,100000.0,105099.42972230348,0.050994297223034835,105015.14070126438,0.0008026368433756484
ivEntry+0.00_ivExit+0.00_hs0.010_xslip0.0,SPY,straddle,short,2024-02-28,2024-02-29,53.941177632298604,5153.370899935782,SPY|short|straddle,100000.0,105153.37089993578,0.05153370899935772,105099.42972230348,0.0005132394892610114
ivEntry+0.00_ivExit+0.00_hs0.010_xslip0.0,SPY,straddle,short,2024-02-29,2024-03-01,134.15770480986112,5287.528604745643,SPY|short|straddle,100000.0,105287.52860474565,0.052875286047456393,105153.37089993578,0.0012758288551446052
ivEntry+0.00_ivExit+0.00_hs0.010_xslip0.0,SPY,straddle,short,2024-03-01,2024-03-04,857.7781565042183,6145.306761249862,SPY|short|straddle,100000.0,106145.30676124986,0.06145306761249847,105287.52860474565,0.008147006277679458
ivEntry+0.00_ivExit+0.00_hs0.010_xslip0.0,SPY,straddle,short,2024-03-04,2024-03-05,62.66794518246161,6207.974706432324,SPY|short|straddle,100000.0,106207.97470643232,0.062079747064323065,106145.30676124986,0.0005903977019296684
ivEntry+0.00_ivExit+0.00_hs0.010_xslip0.0,SPY,straddle,short,2024-03-05,2024-03-06,-171.27250770527735,6036.7021987270455,SPY|short|straddle,100000.0,106036.70219872704,0.06036702198727051,106207.97470643232,-0.0016126143839828302
ivEntry+0.00_ivExit+0.00_hs0.010_xslip0.0,SPY,straddle,short,2024-03-06,2024-03-07,-102.07743629497236,5934.624762432073,SPY|short|straddle,100000.0,105934.62476243207,0.059346247624320725,106036.70219872704,-0.0009626613632670838
ivEntry+0.00_ivExit+0.00_hs0.010_xslip0.0,SPY,straddle,short,2024-03-07,2024-03-08,152.91760275189108,6087.542365183965,SPY|short|straddle,100000.0,106087.54236518397,0.06087542365183962,105934.62476243207,0.0014435091745953939
ivEntry+0.00_ivExit+0.00_hs0.010_xslip0.0,SPY,straddle,short,2024-03-08,2024-03-11,788.1997862065218,6875.7421513904865,SPY|short|straddle,100000.0,106875.74215139048,0.06875742151390485,106087.54236518397,0.0074297110540397894
ivEntry+0.00_ivExit+0.00_hs0.010_xslip0.0,SPY,straddle,short,2024-03-11,2024-03-12,-4.586543865127169,6871.155607525359,SPY|short|straddle,100000.0,106871.15560752536,0.06871155607525359,106875.74215139048,-4.291473231250443e-05
ivEntry+0.00_ivExit+0.00_hs0.010_xslip0.0,SPY,straddle,short,2024-03-12,2024-03-13,155.90718850774692,7027.062796033106,SPY|short|straddle,100000.0,107027.0627960331,0.07027062796033112,106871.15560752536,0.0014588331867609063
ivEntry+0.00_ivExit+0.00_hs0.010_xslip0.0,SPY,straddle,short,2024-03-13,2024-03-14,131.97413131743406,7159.03692735054,SPY|short|straddle,100000.0,107159.03692735053,0.07159036927350537,107027.0627960331,0.0012330912188905328
ivEntry+0.00_ivExit+0.00_hs0.010_xslip0.0,SPY,straddle,short,2024-03-14,2024-03-15,-567.239917602812,6591.797009747728,SPY|short|straddle,100000.0,106591.79700974772,0.06591797009747724,107159.03692735053,-0.005293439861608477
