series_id,ticker,position,strategy,start_date,end_date,trades,initial_balance,ending_equity,total_return_pct,return_1d_pct,return_1w_pct,return_1m_pct,return_3m_pct,return_6m_pct,return_1y_pct
SPY|long|equity,SPY,long,equity,2024-01-30,2026-01-26,499,100000.0,116564.9658203125,0.16564965820312505,0.0010821203772428678,-0.0027547731787145313,0.0016327270863973897,0.025811138852086524,0.0624729277526348,0.02540472148895745
SPY|short|straddle,SPY,short,straddle,2024-01-30,2026-01-26,499,100000.0,220313.79373114466,1.2031379373114466,0.004567363592089757,-0.008035790485321326,0.012626454158583211,0.07214891252092559,0.13033117305302788,0.4872515999787783
SPY|short|strangle,SPY,short,strangle,2024-01-30,2026-01-26,499,100000.0,169042.36915172462,0.6904236915172461,0.0017545150513686991,4.022224144395459e-05,0.010537436796936639,0.046331952806428545,0.06586298005931313,0.3876286258409414
